"","name","city","country","region","members","fullurl","created","status","last_event","past_events","upcoming_events"
"37","R-Ladies Perth","Perth","Australia","Australia",249,"https://www.meetup.com/rladies-perth/",2018-10-23,"Inactive",2019-12-17,10,0
"38","R-Ladies Edinburgh","Edinburgh","United Kingdom","Europe",491,"https://www.meetup.com/rladies-edinburgh/",2018-07-27,"Active",2020-12-16,13,3
"39","R-Ladies Rotterdam","Rotterdam","Netherlands","Europe",501,"https://www.meetup.com/rladies-rotterdam/",2017-12-05,"Active",2020-12-22,16,0
"40","R-Ladies Goiânia","Goiania","Brazil","Latin America",338,"https://www.meetup.com/rladies-goiania/",2019-05-06,"Active",2020-12-12,16,0
"41","R-Ladies Utrecht","Utrecht","Netherlands","Europe",172,"https://www.meetup.com/rladies-utrecht/",2019-06-10,"Active",2020-12-08,5,0
"42","R-Ladies Montpellier","Montpellier","France","Europe",133,"https://www.meetup.com/rladies-montpellier/",2018-10-17,"Active",2020-12-01,8,0
"43","R-Ladies Berlin","Berlin","Germany","Europe",644,"https://www.meetup.com/rladies-berlin/",2016-10-31,"Active",2020-11-04,28,0
"44","R-Ladies Copenhagen","Copenhagen","Denmark","Europe",450,"https://www.meetup.com/rladies-copenhagen/",2017-11-20,"Inactive",2019-12-05,10,0
"45","R-Ladies Oslo","Oslo","Norway","Europe",538,"https://www.meetup.com/rladies-oslo/",2018-02-26,"Active",2020-09-24,12,0
"46","R-Ladies Niterói","Niterói","Brazil","Latin America",744,"https://www.meetup.com/rladies-niteroi/",2018-06-04,"Active",2020-10-06,9,0
"47","R-Ladies New Delhi","Delhi","India","Asia",329,"https://www.meetup.com/rladies-new-delhi/",2019-09-01,"Active",2020-09-06,9,0
"48","R-Ladies Kathmandu","Kathmandu","Nepal","Asia",80,"https://www.meetup.com/rladies-kathmandu/",2018-10-01,"Inactive",2020-03-28,4,0
"49","R-Ladies Iowa City","Iowa City","USA","US/Canada",108,"https://www.meetup.com/rladies-iowa-city/",2018-09-18,"Inactive",2019-10-17,5,0
"50","R-Ladies Des Moines","Des Moines","USA","US/Canada",25,"https://www.meetup.com/rladies-des-moines/",2018-09-23,"Inactive",2019-05-20,4,0
"51","R-Ladies Fayetteville","Fayetteville","USA","US/Canada",110,"https://www.meetup.com/rladies-fayetteville/",2019-07-27,"Active",2020-10-30,8,0
"52","R-Ladies Boulder","Boulder","USA","US/Canada",165,"https://www.meetup.com/rladies-boulder/",2018-06-11,"Active",2020-11-11,10,0
"53","R-Ladies Pasadena","Pasadena","USA","US/Canada",95,"https://www.meetup.com/rladies-pasadena/",2018-04-25,"Inactive",2019-11-07,5,0
"54","R-Ladies Christchurch","Christchurch","New Zealand","Australia",89,"https://www.meetup.com/rladies-christchurch/",2019-05-04,"Inactive",2019-11-12,7,0
"55","R-Ladies Brisbane","Brisbane","Australia","Australia",477,"https://www.meetup.com/rladies-brisbane/",2018-05-10,"Active",2020-12-04,17,0
"56","R-Ladies Auckland","Auckland","New Zealand","Australia",727,"https://www.meetup.com/rladies-auckland/",2017-11-20,"Active",2020-12-03,27,0
"57","R-Ladies Baltimore","Baltimore","USA","US/Canada",647,"https://www.meetup.com/rladies-baltimore/",2018-02-26,"Active",2020-12-16,18,5
"58","R-Ladies Lima","Lima","Peru","Latin America",1432,"https://www.meetup.com/rladies-lima/",2018-01-25,"Active",2020-12-16,12,0
"59","R-Ladies Columbus","Columbus","USA","US/Canada",890,"https://www.meetup.com/rladies-columbus/",2016-10-04,"Active",2020-12-10,42,3
"60","R-Ladies Addis Ababa","Addis Abeba","Ethiopia","Africa",510,"https://www.meetup.com/rladies-addis-ababa/",2018-03-21,"Active",2020-12-08,24,0
"61","R-Ladies L'viv","L'viv","Ukraine","Europe",34,"https://www.meetup.com/rladies-lviv/",2019-08-31,"Inactive",2019-10-18,4,0
"62","R-Ladies Lavras","Lavras","Brazil","Latin America",45,"https://www.meetup.com/rladies-lavras/",2019-04-16,"Inactive",2020-06-15,2,0
"63","R-Ladies Toronto","Toronto","Canada","US/Canada",616,"https://www.meetup.com/rladies-toronto/",2018-09-18,"Active",2020-08-12,6,0
"64","R-Ladies Gainesville","Gainesville","USA","US/Canada",343,"https://www.meetup.com/rladies-gainesville/",2018-07-04,"Active",2020-11-10,31,0
"65","R-Ladies Atlanta","Atlanta","USA","US/Canada",270,"https://www.meetup.com/rladies-atlanta/",2017-12-14,"Inactive",2019-11-15,6,0
"66","R-Ladies Denver","Denver","USA","US/Canada",93,"https://www.meetup.com/rladies-denver/",2019-07-02,"Inactive",2020-01-24,4,0
"67","R-Ladies Jakarta","Jakarta","Indonesia","Asia",540,"https://www.meetup.com/rladies-jakarta/",2019-07-06,"Active",2020-10-24,12,0
"68","R-Ladies Amsterdam","Amsterdam","Netherlands","Europe",877,"https://www.meetup.com/rladies-amsterdam/",2018-02-10,"Active",2020-12-17,26,0
"69","R-Ladies Dallas","Dallas","USA","US/Canada",461,"https://www.meetup.com/rladies-dallas/",2018-03-04,"Active",2020-12-07,25,0
"70","R-Ladies Cotonou","Cotonou","Benin","Africa",35,"https://www.meetup.com/rladies-cotonou/",2018-03-29,"Inactive",2020-02-08,2,0
"71","R-Ladies Recife","Recife","Brazil","Latin America",148,"https://www.meetup.com/rladies-recife/",2019-09-02,"Inactive",2019-09-12,1,0
"72","R-Ladies Lancaster","Lancaster","United Kingdom","Europe",129,"https://www.meetup.com/rladies-lancaster/",2018-09-12,"Inactive",2020-03-04,8,0
"73","R-Ladies Göteborg","Göteborg","Sweden","Europe",155,"https://www.meetup.com/rladies-goteborg/",2019-11-23,"Active",2020-11-03,5,0
"74","R-Ladies Helsinki","Helsinki","Finland","Europe",382,"https://www.meetup.com/rladies-helsinki/",2018-09-07,"Inactive",2020-06-18,14,0
"75","R-Ladies Mumbai","Mumbai","India","Asia",76,"https://www.meetup.com/rladies-mumbai/",2019-11-23,"Inactive",2020-04-25,1,0
"76","R-Ladies Tampa","Tampa","USA","US/Canada",314,"https://www.meetup.com/rladies-tampa/",2018-03-11,"Active",2020-09-12,33,0
"77","R-Ladies El Paso","El Paso","USA","US/Canada",61,"https://www.meetup.com/rladies-el-paso/",2019-04-19,"Inactive",2020-03-12,4,0
"78","R-Ladies Remote","San Francisco","USA","US/Canada",345,"https://www.meetup.com/rladies-remote/",2018-06-19,"Inactive",2019-12-17,9,0
"79","R-Ladies Sydney","Sydney","Australia","Australia",799,"https://www.meetup.com/rladies-sydney/",2018-05-09,"Active",2020-12-03,39,0
"80","R-Ladies Mendoza","Mendoza","Argentina","Latin America",290,"https://www.meetup.com/rladies-mendoza/",2018-02-26,"Active",2020-12-07,12,0
"81","R-Ladies Los Angeles","Los Angeles","USA","US/Canada",619,"https://www.meetup.com/rladies-la/",2016-09-02,"Active",2020-07-29,32,0
"82","R-Ladies Montevideo","Montevideo","Uruguay","Latin America",375,"https://www.meetup.com/rladies-montevideo/",2017-06-02,"Active",2020-12-09,14,0
"83","R-Ladies Resistencia-Corrientes","Corrientes","Argentina","Latin America",143,"https://www.meetup.com/rladies-resistencia-corrientes/",2018-06-08,"Active",2020-12-07,11,0
