"","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event","lat","lon"
"379","EswatiniUseR Group","Manzini","Swaziland","Africa",67,"https://www.meetup.com/EswatiniUseR/",2019-08-11,3,0,"public",2020-07-23,-26.49,31.38
"380","Boston Predictive Analytics","Cambridge","USA","US/Canada",3377,"https://www.meetup.com/Boston-Predictive-Analytics/",2010-07-16,53,0,"public",2016-07-17,42.37,-71.09
"381","Barranquilla Analítica R","Barranquilla","Colombia","Latin America",404,"https://www.meetup.com/Barranquilla-Analitica-R/",2018-05-26,7,0,"public",2019-06-28,11,-74.82
"382","R-Ladies Bariloche","San Carlos de Bariloche","Argentina","Latin America",283,"https://www.meetup.com/rladies-bariloche/",2018-05-10,13,0,"public",2020-10-26,-41.14,-71.32
"383","CalgaryR","Calgary","Canada","US/Canada",1203,"https://www.meetup.com/calgaryr/",2015-04-14,40,0,"public",2021-04-22,51.06,-114.05
"384","New York Open Statistical Programming Meetup","New York","USA","US/Canada",12301,"https://www.meetup.com/nyhackr/",2009-03-12,133,0,"public",2021-06-15,40.73,-74.01
"385","R-Ladies La Paz","La Paz","Bolivia","Latin America",325,"https://www.meetup.com/rladies-la-paz/",2018-10-23,32,0,"public",2021-06-19,-16.5,-68.15
"386","Birmingham R User Group (R Programming Language)","Birmingham","United Kingdom","Europe",747,"https://www.meetup.com/BirminghamR/",2011-12-05,32,2,"public",2021-05-26,52.48,-1.9
"387","DataViz Nantes","Nantes","France","Europe",1041,"https://www.meetup.com/DataViz-Nantes/",2016-09-15,14,3,"public",2021-05-05,47.23,-1.57
"388","Statistical Programming DC","Washington","USA","US/Canada",6311,"https://www.meetup.com/stats-prog-dc/",2009-08-10,81,0,"public",2021-06-19,38.91,-77.02
"389","Mulhouse Machine Learning Meetup","Mulhouse","France","Europe",147,"https://www.meetup.com/Mulhouse-Machine-Learning-Meetup/",2014-07-25,4,0,"public",2017-04-26,47.76,7.34
"390","Stuttgart Predictive Analytics, Predictive Maintenance, AI","Stuttgart","Germany","Europe",363,"https://www.meetup.com/Stuttgart-Predictive-Analytics-Predictive-Maintenance-AI/",2016-01-30,2,0,"public_limited",2016-11-08,48.79,9.19
"391","rMoscow","Moscow","Russia","Europe",611,"https://www.meetup.com/rMoscow/",2014-06-16,7,0,"public",2020-01-16,55.75,37.62
"392","R-Ladies Buenos Aires","Buenos Aires","Argentina","Latin America",1335,"https://www.meetup.com/rladies-buenos-aires/",2017-01-03,32,0,"public",2021-05-04,-34.61,-58.37
"393","R-Ladies Santa Fe","Santa Fe","Argentina","Latin America",214,"https://www.meetup.com/rladies-santa-fe/",2018-05-08,14,0,"public",2020-07-24,-31.6,-60.69
"394","Idaho Business Analytics","Boise","USA","US/Canada",37,"https://www.meetup.com/Idaho-Business-Analytics/",2018-01-09,0,0,"public",1970-01-01,43.62,-116.32
