Year	Project	WorkProduct	Student	Mentors
2019	MoMA - Modern Multivariate Analysis in R	Package	Luofeng Liao	    Genevera Allen, Michael Weylandt
2019	Improving the R package highfrequency	Package	Onno Kleen	    David Ardia, Kris Boudt, Dirk Eddelbuettel
2019	Data-Driven Exploration of the R Community	Infrastructure	Ben Ubah	    Claudia Vitolo, Rick Pack
2019	State-of-the-art geometric random walks in R	Package	Apostolos Chalkis	Zafeirakis Zafeirakopoulos, Vissarion Fisikopoulos, Elias Tsigaridas
2019	Tree-regularized convolutional Neural Network (tCNN) for microbiome-based prediction	Package	Ye Wang	    Li Chen, Jun Chen
2019	cpVis: Interactive visualization for change point exploration and labeling	Visualization	Oliver Ford	    Alexander Gibberd, Benjamin Bach
2019	sgdnet: efficient regularized GLMs for big data	Package	Qincheng Lu	    Toby Hocking, Michael Weylandt, Johan Larsson
2019	Enhancing Visualizations for Biodiversity Data	Visualization	Rahul Chauhan	    Thiloshon Nagarajah, Tomer Gueta, Vijay Barve
2019	Project Proposal Translator from ggplot2 to Vega Lite	Visualization	Wenyu Yang	    Haley Jeppson, Ian Lyttle
2019	Financial Transactions Analytics in blotter	Package	Vito Lestingi	    Brian Peterson, Jasen K Mackie, Peter Carl
2019	An R package for two new skew-t distributions	Package	Daniel Xia	    Richard Martin, Aleksandr Aravkin, Alexios Galanos
2019	Optimal partitioning algorithm for changepoint detection	Package	Anuraag Srivastava	    Guillem, Rebecca Killick, Toby Hocking
2019	Second Order Structure in the Changepoint Package	Package	AndrewC1998	    Jamie-Leigh, Rebecca Killick, Toby Hocking
2019	R Code Optimizer	Package	Juan Cruz Rodriguez	    Nicolás Wolovick, Yihui Xie
2019	A New Package for Empirical Asset Pricing Research, or EAPR	Package	Gregory S Brownson	    Richard Martin, Peter Carl
2019	PRIMAL: An R Package for Linear Programming-based Sparse Learning Methods in High Dimensions	Package	Yujia Xie	    Xingguo Li, Tuo Zhao
2019	gravitas: Exploring probability distributions for bivariate temporal granularities	Package	Sayani Gupta	    Antony Unwin, Dianne Cook
2019	IREGNET on CRAN	Package	Aditya Samantaray	    Toby Hocking, Anuj Khare
2019	Neural Network Package Validation 2	Package	Salsabila Mahdi	    Christophe Dutang, John Nash, Patrice Kiener
2019	xgboost loss functions	Package	Avinash Barnwal	    Toby Hocking, Hyunsu Cho
2019	Grinnellian ecological niches and ellipsoids in R	Package	Marlon E. Cobos	    Luis Osorio, Narayani Barve, Vijay Barve
2019	Add Support for Extra Optimization Solvers to PortfolioAnalytics	Package	Shawn Feng	    Brian Peterson, soumya kalra, Erol Biceroglu, Peter Carl, Ross Bennett
2019	sentometrics	Package	Andres Algaba	    David Ardia, Keven Bluteau, Samuel Borms
2019	Implementing biodiversity data checks for the bdchecks package	Package	Povilas Gibas	    Thiloshon Nagarajah, Tomer Gueta, Vijay Barve
2019	Neural Network Package Validation 1	Package	Akshaj Verma	    Christophe Dutang, John Nash, Patrice Kiener
